country,coordinates,landlocked,language,area,island,border_countries,ISO3
Mongolia,46 00 N 105 00 E,Yes,Mongolian,1564116.0,No,"['CHN', 'RUS']",MNG
Morocco,28 30 N 10 00 W,No,Arabic,716550.0,No,"['DZA', 'MRT', 'MAR', 'ESP']",MAR
Mozambique,18 15 S 35 00 E,No,Makhuwa,799380.0,No,"['SWZ', 'MWI', 'ZAF', 'TZA', 'ZMB', 'ZWE']",MOZ
Namibia,22 00 S 17 00 E,No,Oshiwambo,824292.0,No,"['AGO', 'BWA', 'ZAF', 'ZMB']",NAM
Nepal,28 00 N 84 00 E,Yes,Nepali,147181.0,No,"['CHN', 'IND']",NPL
Netherlands,52 31 N 5 46 E,No,Dutch,41543.0,No,"['BEL', 'DEU']",NLD
New Zealand,41 00 S 174 00 E,No,English,268838.0,Yes,nan,NZL
Nicaragua,13 00 N 85 00 W,No,Spanish,130370.0,No,"['CRI', 'HND']",NIC
Niger,16 00 N 8 00 E,Yes,French,1.267,No,"['DZA', 'BEN', 'BFA', 'TCD', 'LBY', 'MLI', 'NGA']",NER
Nigeria,10 00 N 8 00 E,No,English,923768.0,No,"['BEN', 'CMR', 'TCD', 'NER']",NGA
North Macedonia,41 50 N 22 00 E,Yes,Macedonian,25713.0,No,"['ALB', 'BGR', 'GRC', 'XKX', 'SRB']",MKD
Norway,62 00 N 10 00 E,No,Bokmal,323802.0,No,"['FIN', 'RUS', 'SWE']",NOR
Oman,21 00 N 57 00 E,No,Arabic,309500.0,No,"['SAU', 'YEM']",OMN
Pakistan,30 00 N 70 00 E,No,Punjabi,796095.0,No,"['AFG', 'CHN', 'IND', 'IRN']",PAK
Panama,9 00 N 80 00 W,No,Spanish,75420.0,No,"['COL', 'CRI']",PAN
Papua New Guinea,6 00 S 147 00 E,No,Tok,462840.0,No,IDN,PNG
Paraguay,23 00 S 58 00 W,Yes,Spanish,406752.0,No,"['ARG', 'BOL', 'BRA']",PRY
Peru,10 00 S 76 00 W,No,Spanish,1285216.0,No,"['BOL', 'BRA', 'CHL', 'COL', 'ECU']",PER
Philippines,13 00 N 122 00 E,No,unspecified,300000.0,Yes,nan,PHL
Poland,52 00 N 20 00 E,No,Polish,312685.0,No,"['BLR', 'CZE', 'DEU', 'LTU', 'RUS', 'UKR']",POL
Portugal,39 30 N 8 00 W,No,Portuguese,92090.0,No,ESP,PRT
Qatar,25 30 N 51 15 E,No,Arabic,11586.0,No,SAU,QAT
Romania,46 00 N 25 00 E,No,Romanian,238391.0,No,"['BGR', 'HUN', 'MDA', 'SRB', 'UKR']",ROU
Russia,60 00 N 100 00 E,No,Russian,17098242.0,No,"['AZE', 'BLR', 'CHN', 'EST', 'FIN', 'KAZ', 'LVA', 'LTU', 'MNG', 'PRK', 'NOR', 'POL', 'UKR']",RUS
Rwanda,2 00 S 30 00 E,Yes,Kinyarwanda,26338.0,No,"['BDI', 'COD', 'TZA', 'UGA']",RWA
Saint Kitts and Nevis,17 20 N 62 45 W,No,English,261.0,Yes,nan,KNA
Saint Lucia,13 53 N 60 58 W,No,English,616.0,Yes,nan,LCA
Saint Vincent and the Grenadines,13 15 N 61 12 W,No,English,389.0,Yes,nan,VCT
Samoa,13 35 S 172 20 W,No,Samoan,2831.0,Yes,nan,WSM
Sao Tome and Principe,1 00 N 7 00 E,No,Portuguese,964.0,Yes,nan,STP
Saudi Arabia,25 00 N 45 00 E,No,Arabic,2149690.0,No,"['IRQ', 'JOR', 'KWT', 'OMN', 'QAT', 'YEM']",SAU
Senegal,14 00 N 14 00 W,No,French,196722.0,No,"['GMB', 'GNB', 'MLI', 'MRT']",SEN
Seychelles,4 35 S 55 40 E,No,Seychellois,455.0,Yes,nan,SYC
Sierra Leone,8 30 N 11 30 W,No,English,71740.0,No,"['GIN', 'LBR']",SLE
Singapore,1 22 N 103 48 E,No,English,719.0,Yes,nan,SGP
Slovakia,48 40 N 19 30 E,Yes,Slovak,49035.0,No,"['AUT', 'CZE', 'HUN', 'POL', 'UKR']",SVK
Slovenia,46 07 N 14 49 E,No,Slovene,20273.0,No,"['AUT', 'HRV', 'HUN', 'ITA']",SVN
Solomon Islands,8 00 S 159 00 E,No,Melanesian,28896.0,Yes,nan,SLB
Somalia,10 00 N 49 00 E,No,Somali,637657.0,No,"['DJI', 'ETH', 'KEN']",SOM
South Africa,29 00 S 24 00 E,No,isiZulu,1219090.0,No,"['BWA', 'SWZ', 'LSO', 'MOZ', 'NAM', 'ZWE']",ZAF
Spain,40 00 N 4 00 W,No,Castilian,505370.0,No,"['AND', 'FRA', 'GIB', 'MAR', 'PRT']",ESP
Sri Lanka,7 00 N 81 00 E,No,Sinhala,65610.0,Yes,nan,LKA
Sudan,15 00 N 30 00 E,No,Arabic,1861484.0,No,"['CAF', 'TCD', 'EGY', 'ERI', 'ETH', 'LBY', 'SSD']",SDN
Suriname,4 00 N 56 00 W,No,Dutch,163820.0,No,"['BRA', 'GUF', 'GUY']",SUR
Sweden,62 00 N 15 00 E,No,Swedish,450295.0,No,"['FIN', 'NOR']",SWE
Switzerland,47 00 N 8 00 E,Yes,German,41277.0,No,"['AUT', 'FRA', 'DEU', 'ITA', 'LIE']",CHE
Syria,35 00 N 38 00 E,No,Arabic,187437.0,No,"['IRQ', 'ISR', 'JOR', 'LBN', 'TUR']",SYR
Tajikistan,39 00 N 71 00 E,Yes,Tajik,144100.0,No,"['AFG', 'CHN', 'KGZ', 'UZB']",TJK
Tanzania,6 00 S 35 00 E,No,Kiswahili,947300.0,No,"['BDI', 'COD', 'KEN', 'MWI', 'MOZ', 'RWA', 'UGA', 'ZMB']",TZA
Thailand,15 00 N 100 00 E,No,Thai,513120.0,No,"['KHM', 'LAO', 'MYS', 'MMR']",THA
Togo,8 00 N 1 10 E,No,French,56785.0,No,"['BEN', 'BFA', 'GHA']",TGO
Tonga,20 00 S 175 00 W,No,Tongan,747.0,Yes,nan,TON
Trinidad and Tobago,11 00 N 61 00 W,No,English,5128.0,Yes,nan,TTO
Tunisia,34 00 N 9 00 E,No,Arabic,163610.0,No,"['DZA', 'LBY']",TUN
Turkey (Turkiye),39 00 N 35 00 E,No,Turkish,783562.0,No,"['ARM', 'AZE', 'BGR', 'GEO', 'GRC', 'IRN', 'IRQ', 'SYR']",TUR
Turkmenistan,40 00 N 60 00 E,Yes,Turkmen,488100.0,No,"['AFG', 'IRN', 'KAZ', 'UZB']",TKM
Uganda,1 00 N 32 00 E,Yes,English,241038.0,No,"['COD', 'KEN', 'RWA', 'SSD', 'TZA']",UGA
Ukraine,49 00 N 32 00 E,No,Ukrainian,603550.0,No,"['BLR', 'HUN', 'MDA', 'POL', 'ROU', 'RUS', 'SVK']",UKR
