,Unnamed: 0,country,coordinates,landlocked,language,area,island,border_countries,ISO3,Latitude,Longitude
69,69,Hungary,47 00 N 20 00 E,1,Hungarian,93028.0,0,"['AUT', 'HRV', 'ROU', 'SRB', 'SVK', 'SVN', 'UKR']",HUN,47.1817585,19.5060937
70,70,Iceland,65 00 N 18 00 W,0,Icelandic,103000.0,1,,ISL,64.9841821,-18.1059013
71,71,India,20 00 N 77 00 E,0,Hindi,3287263.0,0,"['BGD', 'BTN', 'CHN', 'MMR', 'NPL', 'PAK']",IND,22.3511148,78.6677428
72,72,Indonesia,5 00 S 120 00 E,0,Bahasa,1904569.0,0,"['MYS', 'PNG', 'TLS']",IDN,-2.4833826,117.8902853
73,73,Iran,32 00 N 53 00 E,0,Persian,1648195.0,0,"['AFG', 'ARM', 'AZE', 'IRQ', 'PAK', 'TUR']",IRN,32.6475314,54.5643516
74,74,Iraq,33 00 N 44 00 E,0,Arabic,438317.0,0,"['IRN', 'JOR', 'KWT', 'SAU', 'SYR', 'TUR']",IRQ,33.0955793,44.1749775
75,75,Ireland,53 00 N 8 00 W,0,English,70273.0,0,GBR,IRL,52.865196,-7.9794599
76,76,Israel,31 30 N 34 45 E,0,Hebrew,21937.0,0,"['EGY', 'JOR', 'LBN', 'PSE', 'SYR']",ISR,30.8124247,34.8594762
77,77,Italy,42 50 N 12 50 E,0,Italian,301340.0,0,"['AUT', 'FRA', 'SMR', 'SVN', 'CHE', 'VAT']",ITA,42.6384261,12.674297
78,78,Jamaica,18 15 N 77 30 W,0,English,10991.0,1,,JAM,18.1850507,-77.3947693
79,79,Japan,36 00 N 138 00 E,0,Japanesemajor-language,377915.0,1,,JPN,36.5748441,139.2394179
80,80,Jordan,31 00 N 36 00 E,0,Arabic,89342.0,0,"['IRQ', 'ISR', 'PSE', 'SAU', 'SYR']",JOR,31.1667049,36.941628
81,81,Kazakhstan,48 00 N 68 00 E,1,Kazakh,2724900.0,0,"['CHN', 'KGZ', 'RUS', 'UZB']",KAZ,48.1012954,66.7780818
82,82,Kenya,1 00 N 38 00 E,0,English,580367.0,0,"['ETH', 'SOM', 'SSD', 'TZA', 'UGA']",KEN,1.4419683,38.4313975
83,83,Kiribati,1 25 N 173 00 E,0,Gilbertese,811.0,1,,KIR,0.3448612,173.6641773
84,84,Korea South,37 00 N 127 30 E,0,Korean,99720.0,0,PRK,KOR,36.638392,127.6961188
85,85,Kuwait,29 30 N 45 45 E,0,Arabic,17818.0,0,"['IRQ', 'SAU']",KWT,29.2733964,47.4979476
86,86,Kyrgyzstan,41 00 N 75 00 E,1,Kyrgyz,199951.0,0,"['CHN', 'KAZ', 'TJK', 'UZB']",KGZ,41.5089324,74.724091
87,87,Laos,18 00 N 105 00 E,1,Lao,236800.0,0,"['KHM', 'CHN', 'MMR', 'THA', 'VNM']",LAO,20.0171109,103.378253
88,88,Latvia,57 00 N 25 00 E,0,Latvian,64589.0,0,"['BLR', 'EST', 'LTU', 'RUS']",LVA,56.8406494,24.7537645
89,89,Lebanon,33 50 N 35 50 E,0,Arabic,10400.0,0,"['ISR', 'SYR']",LBN,33.8750629,35.843409
90,90,Lesotho,29 30 S 28 30 E,1,Sesotho,30355.0,0,ZAF,LSO,-29.6039267,28.3350193
91,91,Liberia,6 30 N 9 30 W,0,English,111369.0,0,"['CIV', 'GIN', 'SLE']",LBR,5.7499721,-9.3658524
92,92,Libya,25 00 N 17 00 E,0,Arabic,1759540.0,0,"['DZA', 'TCD', 'EGY', 'NER', 'SDN', 'TUN']",LBY,26.8234472,18.1236723
93,93,Lithuania,56 00 N 24 00 E,0,Lithuanian,65300.0,0,"['BLR', 'LVA', 'POL', 'RUS']",LTU,55.3500003,23.7499997
94,94,Luxembourg,49 45 N 6 10 E,1,Luxembourgish,2586.0,0,"['BEL', 'FRA', 'DEU']",LUX,49.8158683,6.1296751
95,95,Madagascar,20 00 S 47 00 E,0,Malagasy,587041.0,1,,MDG,-18.9249604,46.4416422
96,96,Malawi,13 30 S 34 00 E,1,English,118484.0,0,"['MOZ', 'TZA', 'ZMB']",MWI,-13.2687204,33.9301963
97,97,Malaysia,2 30 N 112 30 E,0,Bahasa,329847.0,0,"['BRN', 'IDN', 'THA']",MYS,4.5693754,102.2656823
